time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.2994045533588977e-14,6.254149672253168e-09,5.026169540984712,3.830932055137737e-06,5.170974759494129e-12,0.0,-1.2994045533588976e-12,6.234363826899827e-07,0.8720853864348896,0.00019126498713857142,1.1660298465478853e-10,0.0,-0.001357838500790011,0.005568770197666601,900.0215017433621,900.0292399527061
0.12000000000000001,-3.7344997559374753e-13,3.156164603323972e-07,5.1045682563464245,2.239430516315366e-05,1.2017054018542694e-11,0.0,-1.2202821337460238e-11,1.2924431369217782e-05,1.7403154651967232,0.0005446405057016011,1.0911432059912839e-10,0.0,-0.0007385614594683728,0.03897982035530604,899.9987796707131,900.0130728539106
0.18,-1.6810653915529053e-12,2.332648921164709e-06,5.234834470499184,5.788561459230124e-05,1.8563817150152317e-11,0.0,-3.2767583061225415e-11,6.157336343345552e-05,2.600361428280538,0.0006851366364485639,1.0911432059896914e-10,0.0,0.007470604430627168,0.019248948594527415,900.0009674994291,900.0066396253675
0.23999999999999996,-4.5003365741895175e-12,8.838636168254588e-06,5.416349159693659,9.01768520211732e-05,2.511058028176194e-11,0.0,-6.255660061124678e-11,0.00016295456134809028,3.4479865018444533,0.00024260403248516348,1.091143205988099e-10,0.0,0.03300183093541318,0.0563079715685432,900.0088707578668,899.990948911062
0.3,-9.376970944329142e-12,2.2566137379540243e-05,5.648248851809576,9.632722812913386e-05,3.1657343413371564e-11,0.0,-1.0130092157869262e-10,0.00029655574686183816,4.279290354733095,-0.00017922338291261744,1.0911432059865065e-10,0.0,0.038292959466010947,0.055802572943848154,900.0339379354293,900.0168640746856
0.36000000000000004,-1.683829835879704e-11,4.43005041972119e-05,5.929438510040866,6.552375003554545e-05,3.8204106544981187e-11,0.0,-1.486581498793578e-10,0.000423343072348435,5.090465021131677,-0.0011903679732249565,1.0911432059849141e-10,0.0,0.03310605989496002,0.055430522384372544,900.0344958871779,899.9935848128886
0.4200000000000001,-2.7389463384936158e-11,7.182172826020997e-05,6.258610643072617,6.283146371028162,4.475086967659081e-11,0.0,-2.0423299467820638e-10,0.0004760136184492294,5.878244069529161,-0.0028658406607012573,1.0911432059833216e-10,0.0,0.03012333417149552,0.03060641762708203,900.0526198322488,899.9848479523534
0.48000000000000015,-4.151041936066125e-11,9.745954165403837e-05,6.634272319412984,6.282934800347164,5.129763280820043e-11,0.0,-2.6758280795561394e-10,0.0003407151419200934,6.639718521781328,-0.004880895088420661,1.0911432059817292e-10,0.0,0.0416700516671405,0.02452558259330405,900.0628590860146,899.9813783126484
0.5400000000000001,-5.965353249629944e-11,0.00010575442334060583,7.054769842040577,6.282612130437528,5.7844395939810056e-11,0.0,-3.3823255883077344e-10,-0.00012286539387313346,7.372441923844108,-0.006390842541632423,1.0911432059801367e-10,0.0,0.03839900944836143,0.008487029978807162,900.0598579981278,899.9988541046185
0.6000000000000002,-8.224194469349768e-11,7.33577137775502e-05,7.518315570815221,6.282220441363075,6.439115907141968e-11,0.0,-4.156849697944917e-10,-0.0010278361027276878,8.07439747469562,-0.006804227854157149,1.0911432059785443e-10,0.0,0.05348272962394606,0.022632843864606653,900.0387737360884,900.0221715510361
0.6600000000000003,-1.0966861042130857e-10,-2.773081357965025e-05,8.023014242152659,6.281804231915281,7.09379222030293e-11,0.0,-4.99432825003761e-10,-0.002413251259041277,8.744014011983246,-0.007203377436794786,1.0911432059769518e-10,0.0,0.06097378958364617,0.05037687447232806,900.0274014396903,900.0113815078048
0.7200000000000003,-1.4229630475399783e-10,-0.00022639575175699916,8.566893229067693,6.281387258882635,7.748468533463893e-11,0.0,-5.889790108352422e-10,-0.004278342955549739,9.38028063866226,-0.006446606991742337,1.0911432059753594e-10,0.0,0.038706789565707736,0.008798315179130312,900.0136095777441,900.044377912725
0.7800000000000004,-1.8050265641489966e-10,-0.000550147426336446,9.147928862378318,6.281010416634951,1.1803358290762844e-10,0.0,-6.882876603725089e-10,-0.00657098827315067,9.98250369011145,-0.005950903224503923,1.8091953669299286e-09,0.0,0.0008242771493670088,-0.011128055413283497,900.0145151154493,900.0347059191112
0.8400000000000004,-2.2641496465884436e-10,-0.0010225070554587328,9.764067730512567,6.280639063844614,7.512124255981689e-11,0.0,-8.470906016498962e-10,-0.009225079291696425,10.55038043868723,-0.006670207906422096,-5.7639465284139095e-09,0.0,-0.025466865625528967,-0.00984555045373748,900.0170215755229,899.9880284556357
0.9000000000000005,-2.7726866655618927e-10,-0.0016646506573637068,10.413253068347824,6.280218077269279,6.283185306613383,0.0,-7.664147160967119e-10,-0.012234472488631867,11.08409476457954,-0.00771815160521415,-2.0538323326693063e-08,0.0,-0.03280492523223617,0.013255004676668498,900.0217722158866,899.979488486633
0.9600000000000005,-2.969258720585272e-10,-0.0024988870460081448,11.093448078491466,6.279743751814749,6.283185305105743,0.0,3.2706153697613926e-10,-0.015633565865733227,11.584122095210375,-0.008282669367100762,-3.430540736901713e-08,0.0,-0.03166689257227928,0.011915474597021608,900.0224456370311,899.9997448380037
1.0200000000000005,-1.9870509177147452e-10,-0.0035493456053122792,11.80265066057146,6.27922027076151,6.2831853025308995,0.0,3.295522552061108e-09,-0.019444100228686683,12.05113766988043,-0.00962380105587722,-6.013141654292464e-08,0.0,-0.04337236635680401,0.04382909723910198,900.0377766838002,899.9836488663047
